Serial Number,Assamese Text,Sentiment,English Translation
1,আমাৰ বন্ধুবান্ধৱীয়ে এই ভ্ৰমণৰ পৰিস্কাৰ-চোঙা উত্তম বুলি কয়।,positive,My friends say the cleanliness of this trip is excellent.
2,এই খেল অতি সন্তোষজনক আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This game is very satisfying and you always hear good things about it.
3,মই বইৰ মূল্যৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the price of the book.
4,এই হোটেলৰ সুবিধা উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The convenience of this hotel is brilliant. I like it very much.
5,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ লেপটপ। ই অতিশয় সুন্দৰ।,positive,This is the best laptop in Jorhat. It is extremely beautiful.
6,এই বাতৰিবাৰ্তাৰ কাহিনী অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The story of this news article is very satisfying. I like it very much.
7,এই খেলা ম্যাচৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি ভাল।,positive,My satisfaction with this sports match is limitless; it truly is very good.
8,এই বইৰ সুবিধা অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The convenience of this book is very satisfying. I like it very much.
9,এই ৰেষ্টুৰাণ্ট অতি সন্তোষজনক আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This restaurant is very satisfying and you always hear good things about it.
10,মই অনলাইন দোকানৰ সেৱাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the service of the online shop.
11,এই মিউজিক ভিডিঅ’ৰ কাৰ্যক্ষমতা উজ্জ্বল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The performance of this music video is brilliant. I like it very much.
12,এই মিউজিক ভিডিঅ’ৰ সংগীত অবিস্মৰনীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The music of this music video is unforgettable. I like it very much.
13,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ ভ্ৰমণ। ই অতিশয় উত্তম।,positive,This is the best trip in Jorhat. It is extremely excellent.
14,আমাৰ বন্ধুবান্ধৱীয়ে এই ফিল্মৰ কাহিনী অবিস্মৰনীয় বুলি কয়।,positive,My friends say the story of this film is unforgettable.
15,এই কেমেৰাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অবিস্মৰনীয়।,positive,My satisfaction with this camera is limitless; it truly is unforgettable.
16,আমাৰ বন্ধুবান্ধৱীয়ে এই হোটেলৰ প্ৰতিক্ৰিয়া অতি ভাল বুলি কয়।,positive,My friends say the response of this hotel is very good.
17,আমাৰ বন্ধুবান্ধৱীয়ে এই খানাৰ সুবিধা অতি সন্তোষজনক বুলি কয়।,positive,My friends say the convenience of this food item is very satisfying.
18,এই সাধাৰণ সেৱা অতি ভাল আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This service is very good and you always hear good things about it.
19,এয়া ডিব্ৰুগড়ত সৰ্বশ্ৰেষ্ঠ মুভি। ই অতিশয় সুন্দৰ।,positive,This is the best movie in Dibrugarh. It is extremely beautiful.
20,এই খানা চমৎকাৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This food item is wonderful and you always hear good things about it.
21,মই লেপটপ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব সুন্দৰ।,positive,I enjoy the laptop and the experience is very beautiful.
22,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ খানা। ই অতিশয় অসাধাৰণ।,positive,This is the best food item in Guwahati. It is extremely extraordinary.
23,এই কফি দোকানৰ পৰিস্কাৰ-চোঙা আকর্ষণীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The cleanliness of this coffee shop is attractive. I like it very much.
24,এয়া বেংগালুরুত সৰ্বশ্ৰেষ্ঠ উৎসৱ। ই অতিশয় মনোমোহা।,positive,This is the best festival in Bangalore. It is extremely delightful.
25,এই বেকাৰী মোৰ আশাতকৈও অবিস্মৰনীয় আছিল।,positive,This bakery was more unforgettable than I expected.
26,মই খেলা ম্যাচৰ সুবিধাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the convenience of the sports match.
27,আমাৰ বন্ধুবান্ধৱীয়ে এই ট্ৰেইন সেৱাৰ মান উজ্জ্বল বুলি কয়।,positive,My friends say the quality of this train service is brilliant.
28,মই বেকাৰী উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অতি ভাল।,positive,I enjoy the bakery and the experience is very very good.
29,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ বেকাৰী। ই অতিশয় উত্তম।,positive,This is the best bakery in Guwahati. It is extremely excellent.
30,মই বাচ সেৱাৰ পৰিস্কাৰ-চোঙাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the cleanliness of the bus service.
31,মই হোটেল উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব মনোমোহা।,positive,I enjoy the hotel and the experience is very delightful.
32,এই গান এলবাম অবিস্মৰনীয় আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This music album is unforgettable and you always hear good things about it.
33,এই ট্ৰেইন সেৱা মোৰ আশাতকৈও উজ্জ্বল আছিল।,positive,This train service was more brilliant than I expected.
34,এই ভ্ৰমণ মোৰ আশাতকৈও মনোমোহা আছিল।,positive,This trip was more delightful than I expected.
35,মই মিউজিক ভিডিঅ’ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the music video and the experience is very brilliant.
36,আমাৰ বন্ধুবান্ধৱীয়ে এই বেংক সেৱাৰ গতি সুন্দৰ বুলি কয়।,positive,My friends say the speed of this bank service is beautiful.
37,এই খেলা ম্যাচ মোৰ আশাতকৈও অতি ভাল আছিল।,positive,This sports match was more very good than I expected.
38,আমাৰ বন্ধুবান্ধৱীয়ে এই সাধাৰণ সেৱাৰ মান অতি ভাল বুলি কয়।,positive,My friends say the quality of this service is very good.
39,এই লেপটপৰ সেৱা অভূতপূর্ব। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this laptop is exceptional. I like it very much.
40,আমাৰ বন্ধুবান্ধৱীয়ে এই ভ্ৰমণৰ গতি অসাধাৰণ বুলি কয়।,positive,My friends say the speed of this trip is extraordinary.
41,এয়া কলকাতাত সৰ্বশ্ৰেষ্ঠ অনলাইন দোকান। ই অতিশয় সুন্দৰ।,positive,This is the best online shop in Kolkata. It is extremely beautiful.
42,এই ভ্ৰমণ চমৎকাৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This trip is wonderful and you always hear good things about it.
43,এই বাতৰিবাৰ্তাৰ গতি মনোমোহা। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The speed of this news article is delightful. I like it very much.
44,এই কফি দোকানৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি সন্তোষজনক।,positive,My satisfaction with this coffee shop is limitless; it truly is very satisfying.
45,আমাৰ বন্ধুবান্ধৱীয়ে এই হোটেলৰ সুবিধা মনোমোহা বুলি কয়।,positive,My friends say the convenience of this hotel is delightful.
46,এই ফোনৰ সেৱা অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this phone is extraordinary. I like it very much.
47,মই গাড়ীৰ ডিজাইনৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the design of the car.
48,এই সাধাৰণ সেৱা সুন্দৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This service is beautiful and you always hear good things about it.
49,এই মুভিৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই সুন্দৰ।,positive,My satisfaction with this movie is limitless; it truly is beautiful.
50,এয়া টিনিচুকিয়াত সৰ্বশ্ৰেষ্ঠ খানা। ই অতিশয় অসাধাৰণ।,positive,This is the best food item in Tinsukia. It is extremely extraordinary.
51,মই ফিল্মৰ কাহিনীৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the story of the film.
52,এয়া টিনিচুকিয়াত সৰ্বশ্ৰেষ্ঠ বাতৰিবাৰ্তা। ই অতিশয় অতি ভাল।,positive,This is the best news article in Tinsukia. It is extremely very good.
53,এই ফোন মোৰ আশাতকৈও অতি সন্তোষজনক আছিল।,positive,This phone was more very satisfying than I expected.
